reference,input,output,label,,,,,,
"You can use Databricks for near real-time data ingestion, processing, machine learning, and AI for streaming data.",What are some uses of Databricks for streaming data?,"Near real-time data ingestion, processing, machine learning, and AI.",factual,,,,,,
"You can use Databricks for near real-time data ingestion, processing, machine learning, and AI for streaming data.",What can Databricks be used for in relation to streaming data?,"Databricks can be used for near real-time data ingestion, processing, machine learning, and AI for streaming data.",factual,,,,,,
This article provides you with a 30-minute setup guide for your first Databricks workspace. The steps in this article will show you how to do the following:,What is the duration of the setup guide for your first Databricks workspace as outlined in the article?,30 minutes,factual,,,,,,
This article provides you with a 30-minute setup guide for your first Databricks workspace. The steps in this article will show you how to do the following:,What does the article provide a 30-minute setup guide for?,A Databricks workspace.,factual,,,,,,
"'In this free trial, you are eligible to receive credit for free Databricks usage, which is valid for 14 days after you start your trial.'",How long is the free Databricks usage credit valid during the trial period?,14 days,factual,,,,,,
"'To complete these instructions, you need an existing AWS account. If you donâ\x80\x99t have an AWS account, either use the Databricks express setup or sign up for an AWS Free Tier account on the AWS website.'",What should you do if you don't have an existing AWS account to complete the instructions?,Either use the Databricks express setup or sign up for an AWS Free Tier account on the AWS website.,factual,,,,,,
"'Each operation that modifies a Delta Lake table creates a new table version. You can use history information to audit operations, rollback a table, or query a table at a specific point in time using time travel.'",What can you do with the history information of a Delta Lake table?,"You can audit operations, rollback a table, or query a table at a specific point in time using time travel.",factual,,,,,,
"'Each operation that modifies a Delta Lake table creates a new table version. You can use history information to audit operations, rollback a table, or query a table at a specific point in time using time travel.'",What can you use history information for in the context of a Delta Lake table?,"Audit operations, rollback a table, or query a table at a specific point in time using time travel.",factual,,,,,,
"This section provides information on limits, the Databricks release process, support plans, how to give product feedback, and how to monitor system status.",What topics are covered in the mentioned section?,"Limits, the Databricks release process, support plans, how to give product feedback, and how to monitor system status.",factual,,,,,,
"This section provides information on limits, the Databricks release process, support plans, how to give product feedback, and how to monitor system status.",What information does this section provide about Databricks?,"This section provides information on limits, the Databricks release process, support plans, how to give product feedback, and how to monitor system status.",factual,,,,,,
"Databricks has built-in support for charts and visualizations in both Databricks SQL and in notebooks. This page describes how to work with visualizations in Databricks SQL. For information about using visualizations in notebooks, see Visualizations in Databricks notebooks.",How can you work with visualizations in Databricks SQL?,You can work with visualizations in Databricks SQL by utilizing its built-in support for charts and visualizations.,factual,,,,,,
"Databricks has built-in support for charts and visualizations in both Databricks SQL and in notebooks. This page describes how to work with visualizations in Databricks SQL. For information about using visualizations in notebooks, see Visualizations in Databricks notebooks.",How can visualizations be worked with in Databricks SQL?,This page describes how to work with visualizations in Databricks SQL.,factual,,,,,,
"Functions that operate on a group of rows, referred to as a window, and calculate a return value for each row based on the group of rows.\nWindow functions are useful for processing tasks such as calculating a moving average, computing a cumulative statistic, or accessing the value of rows given the relative position of the current row.",What are some tasks that window functions are useful for?,"Calculating a moving average, computing a cumulative statistic, or accessing the value of rows given the relative position of the current row.",factual,,,,,,
"Functions that operate on a group of rows, referred to as a window, and calculate a return value for each row based on the group of rows.
Window functions are useful for processing tasks such as calculating a moving average, computing a cumulative statistic, or accessing the value of rows given the relative position of the current row.",What are some tasks that window functions are useful for processing?,"Calculating a moving average, computing a cumulative statistic, accessing the value of rows given the relative position of the current row.",factual,,,,,,
"'Input widgets allow you to add parameters to your notebooks and dashboards. You can add a widget from the Databricks UI or using the widget API. To add or edit a widget, you must have CAN EDIT permissions on the notebook.'",Who is required to have CAN EDIT permissions to add or edit a widget in Databricks notebooks?,You are required to have CAN EDIT permissions to add or edit a widget in Databricks notebooks.,factual,,,,,,
"'Input widgets allow you to add parameters to your notebooks and dashboards. You can add a widget from the Databricks UI or using the widget API. To add or edit a widget, you must have CAN EDIT permissions on the notebook.'",Who must have CAN EDIT permissions to add or edit a widget in a Databricks notebook?,You must have CAN EDIT permissions to add or edit a widget in a Databricks notebook.,factual,,,,,,
